month,day,TIME,TOTAL_FP_IDEX,DSP_CNT_IDEX,clustering,score
3,10,0,-0.4366578165708074,0.3191489361702127,7,7
5,27,5,-0.4365417453322877,0.17543859649122806,13,3
3,17,3,-0.4363087702511936,0.09708737864077668,16,1
11,8,2,-0.43627824829673717,0.14084507042253522,13,3
4,26,0,-0.43582781604536924,0.16,13,3
10,25,0,-0.4356981531031982,0.06993006993006994,16,1
5,20,0,-0.4356248209875145,0.37383177570093457,7,7
9,2,5,-0.43560043464962284,0.18867924528301885,13,3
11,11,4,-0.4355811666067286,0.09708737864077668,16,1
6,1,1,-0.43554541578535133,0.3773584905660377,7,7
2,10,3,-0.4355390330540737,0.09433962264150943,16,1
3,18,1,-0.4352075797534298,0.19417475728155337,13,3
5,6,0,-0.43489652328111034,0.10309278350515463,16,1
2,10,2,-0.43460130571029426,0.19417475728155337,13,3
3,22,2,-0.43455603532582276,0.08403361344537814,16,1
10,1,6,-0.4343048173284864,0.10101010101010102,16,1
8,17,0,-0.434286837326849,0.14388489208633093,13,3
11,8,4,-0.43427694251062743,0.07142857142857142,16,1
5,24,3,-0.4339034125779386,0.22900763358778625,13,3
5,2,6,-0.4337724484207398,0.19607843137254902,13,3
10,18,0,-0.43343425017983994,0.07246376811594203,16,1
6,21,6,-0.4327972865016072,0.3888888888888889,7,7
6,14,0,-0.43237051132229076,0.4444444444444445,7,7
1,25,3,-0.43231677465947466,0.1098901098901099,16,1
9,11,0,-0.43213541976892506,0.09259259259259259,16,1
10,4,4,-0.43164927143759296,0.0819672131147541,16,1
5,21,1,-0.43120313462247634,0.09090909090909091,16,1
9,5,2,-0.4311245925869278,0.08620689655172414,16,1
11,3,1,-0.4311092848161996,0.09433962264150943,16,1
7,5,5,-0.43096536046653544,0.13245033112582782,16,1
11,12,0,-0.4308815485602139,0.09523809523809525,16,1
5,9,3,-0.43077790406548816,0.09345794392523364,16,1
10,9,0,-0.43060636024659277,0.08547008547008547,16,1
6,21,2,-0.4305856763623507,0.06578947368421052,16,1
3,7,1,-0.4305190466036705,0.09345794392523364,16,1
10,13,4,-0.4304050220368872,0.08547008547008547,16,1
4,18,2,-0.4302748196320929,0.09090909090909091,16,1
5,8,0,-0.43015507951632087,0.10101010101010102,16,1
8,9,0,-0.4301262080004193,0.07575757575757576,16,1
5,16,1,-0.4300415695283086,0.17699115044247787,13,3
4,10,3,-0.4300162307825554,0.3,7,7
11,19,1,-0.4299840881623832,0.3333333333333333,7,7
12,6,2,-0.42988676339446846,0.25210084033613445,13,3
6,13,0,-0.42963550500996983,0.0813008130081301,16,1
3,7,6,-0.42952610990912565,0.09433962264150943,16,1
5,27,1,-0.4293040860992791,0.18518518518518517,13,3
9,15,0,-0.42923280352510906,0.380952380952381,7,7
10,18,3,-0.4291008768572761,0.13513513513513514,13,3
8,23,0,-0.42907362383948666,0.43165467625899284,7,7
5,11,0,-0.42894989233510605,0.297029702970297,7,7
6,14,7,-0.4287780140223498,0.05434782608695652,16,1
11,19,4,-0.42862970735636874,0.09090909090909091,16,1
10,26,4,-0.42829600332336754,0.17391304347826086,13,3
10,12,4,-0.4282708861950661,0.1904761904761905,13,3
3,28,2,-0.4281946543299408,0.09615384615384616,16,1
3,12,2,-0.428193112608026,0.20618556701030927,13,3
11,11,2,-0.4280136571840034,0.18691588785046728,13,3
4,29,2,-0.4279254831572052,0.09523809523809525,16,1
4,13,1,-0.42791920566615277,0.10309278350515463,16,1
11,4,3,-0.4276624548846192,0.09433962264150943,16,1
9,13,0,-0.427440442359072,0.16129032258064516,13,3
4,9,1,-0.427094091135564,0.10101010101010102,16,1
5,23,4,-0.4270117064100955,0.08771929824561403,16,1
2,1,4,-0.4269355064678065,0.09708737864077668,16,1
10,25,1,-0.42613757882945075,0.2054794520547945,13,3
3,16,3,-0.42611671185982536,0.09615384615384616,16,1
1,25,0,-0.42608517687895664,0.16042780748663105,13,3
12,13,2,-0.4260645636966363,0.072992700729927,16,1
1,5,1,-0.4259392150492682,0.17699115044247787,13,3
8,3,1,-0.4259360039328096,0.09259259259259259,16,1
5,13,1,-0.42589367930125066,0.1,16,1
8,23,3,-0.4258153273258066,0.28169014084507044,7,7
11,15,1,-0.4255985391195533,0.06622516556291391,16,1
5,3,6,-0.4252782583640313,0.1863354037267081,13,3
2,1,2,-0.4251260523725521,0.09708737864077668,16,1
2,4,2,-0.4248940507845587,0.19417475728155337,13,3
4,6,2,-0.42477291689695057,0.10638297872340426,16,1
4,8,6,-0.42475573038373066,0.1694915254237288,13,3
11,22,3,-0.4247377477448749,0.07692307692307693,16,1
5,24,0,-0.42468704431241017,0.2272727272727273,13,3
6,3,3,-0.42456443875220234,0.09900990099009901,16,1
1,1,2,-0.42437385345150813,0.08849557522123894,16,1
8,5,3,-0.4243570518784347,0.27522935779816515,7,7
3,25,5,-0.42429415309585,0.08771929824561403,16,1
11,19,3,-0.42410448873775175,0.18691588785046728,13,3
5,27,4,-0.4240348059961381,0.09900990099009901,16,1
5,8,5,-0.4238486284560304,0.09708737864077668,16,1
9,27,0,-0.4237647308158894,0.15748031496062992,13,3
11,12,3,-0.4233574869840071,0.2608695652173913,13,3
3,24,0,-0.4232843513525449,0.29411764705882354,7,7
9,1,4,-0.42320668438178155,0.09174311926605505,16,1
4,10,2,-0.423114595828972,0.10309278350515463,16,1
5,12,3,-0.42290268044471924,0.09615384615384616,16,1
8,16,3,-0.4227823983950087,0.06369426751592357,16,1
4,13,2,-0.4227720587500721,0.10752688172043012,16,1
12,18,0,-0.42229161577452734,0.2830188679245283,7,7
5,29,1,-0.42228128736285686,0.19801980198019803,13,3
1,5,6,-0.42225046436803754,0.3252032520325204,7,7
